Fecha de Registro,Empresa,Puesto,Salario,Ubicacion,Enlace Vacante,Contacto,Match %,Estado Postulacion
2026-05-21T16:32:59.092Z,"TinyStudio Ltd","Jira Senior Specialist","41.000€ - 54.000€","Híbrido (Madrid)","https://www.indeed.com/viewjob/scraped4","hr@tinystudioltd.com",75%,Found
2026-05-21T16:33:21.283Z,"Lumina AI","Angular Senior Specialist","43.000€ - 61.000€","Remoto (España)","https://www.linkedin.com/jobs/view/scraped0","careers@luminaai.com",75%,Found
2026-05-21T16:33:26.667Z,"TechNova Solutions","Java Project Leader / Manager","52.000€ - 63.000€","Madrid / Remoto","https://www.indeed.com/viewjob/scraped1","jobs@technovasolutions.com",65%,Found
2026-05-21T16:33:32.030Z,"DigitalFlow Apps","Scrum Full Stack Developer","47.000€ - 65.000€","Barcelona / Remoto","https://www.indeed.com/viewjob/scraped2","recruit@digitalflowapps.com",65%,Found
2026-05-21T16:33:37.386Z,"Inditex Tech","Jira Specialist","35.000€ - 53.000€","Remoto","https://www.linkedin.com/jobs/view/scraped3","talent@inditextech.com",65%,Found
2026-05-21T16:33:42.745Z,"TinyStudio Ltd","Enterprise IA Senior Specialist","44.000€ - 62.000€","Híbrido (Madrid)","https://www.indeed.com/viewjob/scraped4","hr@tinystudioltd.com",75%,Found
2026-05-21T16:45:48.474Z,"Lumina AI","Angular Senior Specialist","37.000€ - 51.000€","Remoto (España)","https://www.linkedin.com/jobs/view/scraped0","careers@luminaai.com",75%,Found
2026-05-21T16:45:53.840Z,"TechNova Solutions","Java Project Leader / Manager","36.000€ - 55.000€","Madrid / Remoto","https://www.indeed.com/viewjob/scraped1","jobs@technovasolutions.com",65%,Found
2026-05-21T16:45:59.195Z,"DigitalFlow Apps","Scrum Full Stack Developer","36.000€ - 54.000€","Barcelona / Remoto","https://www.indeed.com/viewjob/scraped2","recruit@digitalflowapps.com",65%,Found
2026-05-21T16:46:04.549Z,"Inditex Tech","Jira Specialist","39.000€ - 53.000€","Remoto","https://www.linkedin.com/jobs/view/scraped3","talent@inditextech.com",65%,Found
2026-05-21T16:46:10.041Z,"TinyStudio Ltd","Enterprise IA Senior Specialist","54.000€ - 72.000€","Híbrido (Madrid)","https://www.indeed.com/viewjob/scraped4","hr@tinystudioltd.com",75%,Found
2026-05-21T16:55:11.499Z,"Lumina AI","Angular Senior Specialist","39.000€ - 56.000€","Remoto (España)","https://www.linkedin.com/jobs/view/scraped0","careers@luminaai.com",75%,Found
2026-05-21T16:55:16.889Z,"TechNova Solutions","Java Project Leader / Manager","50.000€ - 66.000€","Madrid / Remoto","https://www.indeed.com/viewjob/scraped1","jobs@technovasolutions.com",65%,Found
2026-05-21T16:55:22.282Z,"DigitalFlow Apps","Scrum Full Stack Developer","47.000€ - 63.000€","Barcelona / Remoto","https://www.indeed.com/viewjob/scraped2","recruit@digitalflowapps.com",65%,Found
2026-05-21T16:55:27.752Z,"Inditex Tech","Jira Specialist","40.000€ - 50.000€","Remoto","https://www.linkedin.com/jobs/view/scraped3","talent@inditextech.com",65%,Found
2026-05-21T16:55:33.221Z,"TinyStudio Ltd","Enterprise IA Senior Specialist","48.000€ - 71.000€","Híbrido (Madrid)","https://www.indeed.com/viewjob/scraped4","hr@tinystudioltd.com",75%,Found
2026-05-21T16:58:51.975Z,"Lumina AI","Angular Senior Specialist","40.000€ - 62.000€","Remoto (España)","https://www.linkedin.com/jobs/view/scraped0","careers@luminaai.com",75%,Found
2026-05-21T16:58:57.437Z,"TechNova Solutions","Java Project Leader / Manager","52.000€ - 68.000€","Madrid / Remoto","https://www.indeed.com/viewjob/scraped1","jobs@technovasolutions.com",65%,Found
2026-05-21T16:59:02.830Z,"DigitalFlow Apps","Scrum Full Stack Developer","41.000€ - 53.000€","Barcelona / Remoto","https://www.indeed.com/viewjob/scraped2","recruit@digitalflowapps.com",65%,Found
2026-05-21T16:59:08.223Z,"Inditex Tech","Jira Specialist","35.000€ - 47.000€","Remoto","https://www.linkedin.com/jobs/view/scraped3","talent@inditextech.com",65%,Found
2026-05-21T16:59:13.602Z,"TinyStudio Ltd","Enterprise IA Senior Specialist","54.000€ - 67.000€","Híbrido (Madrid)","https://www.indeed.com/viewjob/scraped4","hr@tinystudioltd.com",75%,Found
2026-05-21T17:04:34.925Z,"Lumina AI","Tech Lead Senior Specialist","38.000€ - 52.000€","Remoto (España)","https://www.linkedin.com/jobs/view/scraped0","careers@luminaai.com",75%,Found
2026-05-21T17:04:40.130Z,"TechNova Solutions","Project Leader","54.000€ - 64.000€","Madrid / Remoto","https://www.indeed.com/viewjob/scraped1","jobs@technovasolutions.com",70%,Found
2026-05-21T17:04:45.337Z,"DigitalFlow Apps","Senior Full Stack Developer Full Stack Developer","49.000€ - 62.000€","Barcelona / Remoto","https://www.indeed.com/viewjob/scraped2","recruit@digitalflowapps.com",75%,Found
2026-05-21T17:04:50.543Z,"Inditex Tech","Engineering Manager Specialist","49.000€ - 73.000€","Remoto","https://www.linkedin.com/jobs/view/scraped3","talent@inditextech.com",65%,Found
2026-05-21T17:04:55.749Z,"TinyStudio Ltd","Tech Lead Senior Specialist","46.000€ - 65.000€","Híbrido (Madrid)","https://www.indeed.com/viewjob/scraped4","hr@tinystudioltd.com",75%,Found
2026-05-21T17:18:16.061Z,"Lumina AI","Tech Lead Senior Specialist","35.000€ - 50.000€","Remoto (España)","https://www.linkedin.com/jobs/view/scraped0","careers@luminaai.com",75%,Found
2026-05-21T17:18:21.385Z,"TechNova Solutions","Project Leader","51.000€ - 67.000€","Madrid / Remoto","https://www.indeed.com/viewjob/scraped1","jobs@technovasolutions.com",70%,Found
2026-05-21T17:18:26.710Z,"DigitalFlow Apps","Senior Full Stack Developer Full Stack Developer","50.000€ - 72.000€","Barcelona / Remoto","https://www.indeed.com/viewjob/scraped2","recruit@digitalflowapps.com",75%,Found
2026-05-21T17:18:32.046Z,"Inditex Tech","Engineering Manager Specialist","47.000€ - 66.000€","Remoto","https://www.linkedin.com/jobs/view/scraped3","talent@inditextech.com",65%,Found
2026-05-21T17:18:37.360Z,"TinyStudio Ltd","Tech Lead Senior Specialist","35.000€ - 52.000€","Híbrido (Madrid)","https://www.indeed.com/viewjob/scraped4","hr@tinystudioltd.com",75%,Found
2026-05-21T17:26:37.191Z,"Lumina AI","Tech Lead Senior Specialist","43.000€ - 62.000€","Remoto (España)","https://www.linkedin.com/jobs/view/scraped0","careers@luminaai.com",75%,Found
2026-05-21T17:26:42.623Z,"TechNova Solutions","Project Leader","45.000€ - 65.000€","Madrid / Remoto","https://www.indeed.com/viewjob/scraped1","jobs@technovasolutions.com",70%,Found
2026-05-21T17:26:47.945Z,"DigitalFlow Apps","Senior Full Stack Developer Full Stack Developer","49.000€ - 60.000€","Barcelona / Remoto","https://www.indeed.com/viewjob/scraped2","recruit@digitalflowapps.com",75%,Found
2026-05-21T17:26:53.266Z,"Inditex Tech","Engineering Manager Specialist","54.000€ - 68.000€","Remoto","https://www.linkedin.com/jobs/view/scraped3","talent@inditextech.com",65%,Found
2026-05-21T17:26:58.592Z,"TinyStudio Ltd","Tech Lead Senior Specialist","42.000€ - 59.000€","Híbrido (Madrid)","https://www.indeed.com/viewjob/scraped4","hr@tinystudioltd.com",75%,Found
2026-05-21T17:32:25.111Z,"Lumina AI","Tech Lead Senior Specialist","36.000€ - 48.000€","Remoto (España)","https://www.linkedin.com/jobs/view/scraped0","careers@luminaai.com",75%,Found
2026-05-21T17:32:30.528Z,"TechNova Solutions","Project Leader","42.000€ - 59.000€","Madrid / Remoto","https://www.indeed.com/viewjob/scraped1","jobs@technovasolutions.com",70%,Found
2026-05-21T17:32:35.846Z,"DigitalFlow Apps","Senior Full Stack Developer Full Stack Developer","44.000€ - 64.000€","Barcelona / Remoto","https://www.indeed.com/viewjob/scraped2","recruit@digitalflowapps.com",75%,Found
2026-05-21T17:32:41.300Z,"Inditex Tech","Engineering Manager Specialist","46.000€ - 65.000€","Remoto","https://www.linkedin.com/jobs/view/scraped3","talent@inditextech.com",65%,Found
2026-05-21T17:32:46.626Z,"TinyStudio Ltd","Tech Lead Senior Specialist","36.000€ - 46.000€","Híbrido (Madrid)","https://www.indeed.com/viewjob/scraped4","hr@tinystudioltd.com",75%,Found
2026-05-21T17:36:05.680Z,"Lumina AI","Tech Lead Senior Specialist","43.000€ - 65.000€","Remoto (España)","https://www.linkedin.com/jobs/view/scraped0","careers@luminaai.com",75%,Found
2026-05-21T17:36:11.008Z,"TechNova Solutions","Project Leader","36.000€ - 56.000€","Madrid / Remoto","https://www.indeed.com/viewjob/scraped1","jobs@technovasolutions.com",70%,Found
2026-05-21T17:36:16.330Z,"DigitalFlow Apps","Senior Full Stack Developer Full Stack Developer","54.000€ - 74.000€","Barcelona / Remoto","https://www.indeed.com/viewjob/scraped2","recruit@digitalflowapps.com",75%,Found
2026-05-21T17:36:21.651Z,"Inditex Tech","Engineering Manager Specialist","53.000€ - 75.000€","Remoto","https://www.linkedin.com/jobs/view/scraped3","talent@inditextech.com",65%,Found
2026-05-21T17:36:26.965Z,"TinyStudio Ltd","Tech Lead Senior Specialist","53.000€ - 70.000€","Híbrido (Madrid)","https://www.indeed.com/viewjob/scraped4","hr@tinystudioltd.com",75%,Found
2026-05-21T17:39:03.123Z,"Lumina AI","Tech Lead Senior Specialist","53.000€ - 71.000€","Remoto (España)","https://www.linkedin.com/jobs/view/scraped0","careers@luminaai.com",75%,Found
2026-05-21T17:39:08.448Z,"TechNova Solutions","Project Leader","36.000€ - 53.000€","Madrid / Remoto","https://www.indeed.com/viewjob/scraped1","jobs@technovasolutions.com",70%,Found
2026-05-21T17:39:13.778Z,"DigitalFlow Apps","Senior Full Stack Developer Full Stack Developer","40.000€ - 58.000€","Barcelona / Remoto","https://www.indeed.com/viewjob/scraped2","recruit@digitalflowapps.com",75%,Found
2026-05-21T17:39:19.101Z,"Inditex Tech","Engineering Manager Specialist","51.000€ - 72.000€","Remoto","https://www.linkedin.com/jobs/view/scraped3","talent@inditextech.com",65%,Found
2026-05-21T17:42:46.411Z,"Lumina AI","Tech Lead Senior Specialist","39.000€ - 52.000€","Remoto (España)","https://www.linkedin.com/jobs/view/scraped0","careers@luminaai.com",75%,Found
2026-05-21T17:42:51.734Z,"TechNova Solutions","Project Leader","42.000€ - 56.000€","Madrid / Remoto","https://www.indeed.com/viewjob/scraped1","jobs@technovasolutions.com",70%,Found
2026-05-21T17:42:57.056Z,"DigitalFlow Apps","Senior Full Stack Developer Full Stack Developer","44.000€ - 57.000€","Barcelona / Remoto","https://www.indeed.com/viewjob/scraped2","recruit@digitalflowapps.com",75%,Found
2026-05-21T17:43:02.381Z,"Inditex Tech","Engineering Manager Specialist","51.000€ - 67.000€","Remoto","https://www.linkedin.com/jobs/view/scraped3","talent@inditextech.com",65%,Found
2026-05-21T17:43:07.712Z,"TinyStudio Ltd","Tech Lead Senior Specialist","45.000€ - 61.000€","Híbrido (Madrid)","https://www.indeed.com/viewjob/scraped4","hr@tinystudioltd.com",75%,Found
2026-05-21T17:50:04.360Z,"Lumina AI","Tech Lead Senior Specialist","50.000€ - 61.000€","Remoto (España)","https://www.linkedin.com/jobs/view/scraped0","careers@luminaai.com",75%,Found
2026-05-21T17:50:09.678Z,"TechNova Solutions","Project Leader","39.000€ - 62.000€","Madrid / Remoto","https://www.indeed.com/viewjob/scraped1","jobs@technovasolutions.com",70%,Found
2026-05-21T17:50:15.000Z,"DigitalFlow Apps","Senior Full Stack Developer Full Stack Developer","36.000€ - 59.000€","Barcelona / Remoto","https://www.indeed.com/viewjob/scraped2","recruit@digitalflowapps.com",75%,Found
2026-05-21T17:50:20.327Z,"Inditex Tech","Engineering Manager Specialist","45.000€ - 55.000€","Remoto","https://www.linkedin.com/jobs/view/scraped3","talent@inditextech.com",65%,Found
2026-05-21T17:50:25.757Z,"TinyStudio Ltd","Tech Lead Senior Specialist","51.000€ - 71.000€","Híbrido (Madrid)","https://www.indeed.com/viewjob/scraped4","hr@tinystudioltd.com",75%,Found
2026-05-21T17:51:57.923Z,"Lumina AI","Tech Lead Senior Specialist","39.000€ - 58.000€","Remoto (España)","https://www.linkedin.com/jobs/view/scraped0","careers@luminaai.com",75%,Found
2026-05-21T17:52:03.242Z,"TechNova Solutions","Project Leader","43.000€ - 61.000€","Madrid / Remoto","https://www.indeed.com/viewjob/scraped1","jobs@technovasolutions.com",70%,Found
2026-05-21T17:52:08.562Z,"DigitalFlow Apps","Senior Full Stack Developer Full Stack Developer","43.000€ - 61.000€","Barcelona / Remoto","https://www.indeed.com/viewjob/scraped2","recruit@digitalflowapps.com",75%,Found
2026-05-21T17:52:13.890Z,"Inditex Tech","Engineering Manager Specialist","39.000€ - 56.000€","Remoto","https://www.linkedin.com/jobs/view/scraped3","talent@inditextech.com",65%,Found
2026-05-21T17:52:19.214Z,"TinyStudio Ltd","Tech Lead Senior Specialist","42.000€ - 53.000€","Híbrido (Madrid)","https://www.indeed.com/viewjob/scraped4","hr@tinystudioltd.com",75%,Found
2026-05-21T17:53:47.504Z,"Lumina AI","Tech Lead Senior Specialist","35.000€ - 53.000€","Remoto (España)","https://www.linkedin.com/jobs/view/scraped0","careers@luminaai.com",75%,Found
2026-05-21T17:53:52.827Z,"TechNova Solutions","Project Leader","51.000€ - 72.000€","Madrid / Remoto","https://www.indeed.com/viewjob/scraped1","jobs@technovasolutions.com",70%,Found
2026-05-21T17:55:29.531Z,"Lumina AI","Tech Lead Senior Specialist","37.000€ - 50.000€","Remoto (España)","https://www.linkedin.com/jobs/view/scraped0","careers@luminaai.com",75%,Found
2026-05-21T17:55:34.854Z,"TechNova Solutions","Project Leader","38.000€ - 51.000€","Madrid / Remoto","https://www.indeed.com/viewjob/scraped1","jobs@technovasolutions.com",70%,Found
2026-05-21T17:55:40.194Z,"DigitalFlow Apps","Senior Full Stack Developer Full Stack Developer","35.000€ - 46.000€","Barcelona / Remoto","https://www.indeed.com/viewjob/scraped2","recruit@digitalflowapps.com",75%,Found
2026-05-21T18:01:18.439Z,"Lumina AI","Tech Lead Senior Specialist","50.000€ - 65.000€","Remoto (España)","https://www.linkedin.com/jobs/view/scraped0","careers@luminaai.com",75%,Found
2026-05-21T18:01:23.783Z,"TechNova Solutions","Project Leader","39.000€ - 51.000€","Madrid / Remoto","https://www.indeed.com/viewjob/scraped1","jobs@technovasolutions.com",70%,Found
2026-05-21T18:01:29.111Z,"DigitalFlow Apps","Senior Full Stack Developer Full Stack Developer","42.000€ - 66.000€","Barcelona / Remoto","https://www.indeed.com/viewjob/scraped2","recruit@digitalflowapps.com",75%,Found
2026-05-21T18:25:59.203Z,"Lumina AI","Tech Lead Senior Specialist","46.000€ - 57.000€","Remoto (España)","https://www.linkedin.com/jobs/view/scraped0","careers@luminaai.com",88%,Found
2026-05-21T18:26:16.247Z,"TechNova Solutions","Project Leader","46.000€ - 68.000€","Madrid / Remoto","https://www.indeed.com/viewjob/scraped1","jobs@technovasolutions.com",85%,Found
2026-05-21T18:26:34.523Z,"DigitalFlow Apps","Senior Full Stack Developer Full Stack Developer","49.000€ - 59.000€","Barcelona / Remoto","https://www.indeed.com/viewjob/scraped2","recruit@digitalflowapps.com",95%,Found
2026-05-21T18:26:48.962Z,"Inditex Tech","Engineering Manager Specialist","49.000€ - 61.000€","Remoto","https://www.linkedin.com/jobs/view/scraped3","talent@inditextech.com",85%,Found
2026-05-21T18:27:03.503Z,"TinyStudio Ltd","Tech Lead Senior Specialist","43.000€ - 63.000€","Híbrido (Madrid)","https://www.indeed.com/viewjob/scraped4","hr@tinystudioltd.com",92%,Found
2026-05-21T18:35:52.723Z,"EverAI","Mid/Senior AI Cinematic Video Editor (Full Remote - Worldwide)","No especificado","Worldwide","https://remotive.com/remote-jobs/artificial-intelligence/mid-senior-ai-cinematic-video-editor-full-remote-worldwide-2090887",,15%,Found
2026-05-21T18:36:03.775Z,"Noventra Group Europe","Paid Media Specialist","$65k - $85k","Worldwide","https://remotive.com/remote-jobs/marketing/paid-media-specialist-2090885",,15%,Found
2026-05-21T18:36:16.357Z,"A.Team","Senior Independent Software Developer","$90 - $150 /hour","Americas, Europe, Israel","https://remotive.com/remote-jobs/software-development/senior-independent-software-developer-1919265",,92%,Found
2026-05-21T18:36:28.968Z,"A.Team","Senior Independent AI Engineer / Architect","$120 - $170 /hour","Americas, Europe, Israel","https://remotive.com/remote-jobs/software-development/senior-independent-ai-engineer-architect-1919266",,55%,Found
2026-05-21T18:36:41.764Z,"Lemon.io","Senior Full-stack React Developer","No especificado","Americas, Europe, Asia, Oceania","https://remotive.com/remote-jobs/software-development/senior-full-stack-react-developer-2088711",,75%,Found
2026-05-21T18:36:54.362Z,"Expion Health","Marketing Manager, Content & AI Enablement","$75k - $95k","USA","https://remotive.com/remote-jobs/marketing/marketing-manager-content-ai-enablement-2090883",,25%,Found
2026-05-21T18:37:06.879Z,"Mitre Media","Tech Lead Full-Stack Rails Engineer","$170k - $200k","USA, Canada, USA timezones","https://remotive.com/remote-jobs/software-development/tech-lead-full-stack-rails-engineer-2069746",,50%,Found
2026-05-21T18:37:18.835Z,"Expion Health","Business Transformation Lead","$175k - $225k","USA","https://remotive.com/remote-jobs/artificial-intelligence/business-transformation-lead-2090881",,48%,Found
2026-05-21T18:37:32.249Z,"Coalition Technologies ","Office Assistant","$31,2k- $52k","Worldwide","https://remotive.com/remote-jobs/marketing/office-assistant-1680495",,20%,Found
2026-05-21T18:37:48.495Z,"Caul Group","Director of Revenue Systems and AI Automation (Offshore) ","$60k–$72k","LATAM","https://remotive.com/remote-jobs/artificial-intelligence/director-of-revenue-systems-and-ai-automation-offshore-2090878",,45%,Found
2026-05-21T18:38:01.147Z,"nooro","iOS Developer","$60k-$130k (depending on experience)","USA","https://remotive.com/remote-jobs/software-development/ios-developer-1956455",,25%,Found
2026-05-21T18:38:14.239Z,"Credit Wellness, LLC","Inside Sales Contractor","OTE $25k - $35k","Worldwide","https://remotive.com/remote-jobs/sales/inside-sales-contractor-2086540",,10%,Found
2026-05-21T18:38:26.617Z,"IAPWE","Freelance Writer","$50-$75 /hour","Worldwide","https://remotive.com/remote-jobs/writing/freelance-writer-1185979",,15%,Found
2026-05-21T18:38:40.346Z,"Parkosecure GmbH","🇩🇪Customer Support Manager","No especificado","Switzerland","https://remotive.com/remote-jobs/customer-service/customer-support-manager-2090874",,15%,Found
2026-05-21T18:38:53.426Z,"Coalition Technologies ","Copywriter","$20k -$35k","Worldwide","https://remotive.com/remote-jobs/writing/copywriter-1749306",,15%,Found
2026-05-21T18:38:55.128Z,"Lemon.io","Senior DevOps Engineer","No especificado","Americas, Europe, Asia, Oceania","https://remotive.com/remote-jobs/devops/senior-devops-engineer-2090002",,85%,Found
2026-05-21T18:38:57.072Z,"Lemon.io","Head of Engineering","No especificado","USA timezones, European timezones","https://remotive.com/remote-jobs/software-development/head-of-engineering-2089995",,65%,Found
2026-05-21T18:38:58.756Z,"EverAI","Senior AI Video Artist","-","Worldwide","https://remotive.com/remote-jobs/marketing/senior-ai-video-artist-2089994",,75%,Found
2026-05-21T18:39:00.453Z,"TELUS Digital","Content Reviewer - US","$14/hour","USA","https://remotive.com/remote-jobs/all-others/content-reviewer-us-2089990",,65%,Found
2026-05-21T18:39:04.636Z,"Dry Ground AI","AI Engineer","$40- $60k","Brazil, Colombia, Philippines","https://remotive.com/remote-jobs/artificial-intelligence/ai-engineer-2089958",,70%,Found
2026-05-21T18:58:55.144Z,"EverAI","Mid/Senior AI Cinematic Video Editor (Full Remote - Worldwide)","No especificado","Worldwide","https://remotive.com/remote-jobs/artificial-intelligence/mid-senior-ai-cinematic-video-editor-full-remote-worldwide-2090887",,75%,Found
2026-05-21T18:58:56.848Z,"Noventra Group Europe","Paid Media Specialist","$65k - $85k","Worldwide","https://remotive.com/remote-jobs/marketing/paid-media-specialist-2090885",,65%,Found
2026-05-21T18:58:58.545Z,"A.Team","Senior Independent Software Developer","$90 - $150 /hour","Americas, Europe, Israel","https://remotive.com/remote-jobs/software-development/senior-independent-software-developer-1919265",,75%,Found
2026-05-21T18:59:00.251Z,"A.Team","Senior Independent AI Engineer / Architect","$120 - $170 /hour","Americas, Europe, Israel","https://remotive.com/remote-jobs/software-development/senior-independent-ai-engineer-architect-1919266",,75%,Found
2026-05-21T18:59:01.938Z,"Lemon.io","Senior Full-stack React Developer","No especificado","Americas, Europe, Asia, Oceania","https://remotive.com/remote-jobs/software-development/senior-full-stack-react-developer-2088711",,85%,Found
2026-05-21T18:59:03.947Z,"Expion Health","Marketing Manager, Content & AI Enablement","$75k - $95k","USA","https://remotive.com/remote-jobs/marketing/marketing-manager-content-ai-enablement-2090883",,65%,Found
2026-05-21T19:34:05.440Z,"Empresa no identificada","Iniciar sesión","No especificado","Remoto / Híbrido","https://www.linkedin.com/jobs/collections/easy-apply/?currentJobId=4413311238&discover=true&discoveryOrigin=JOBS_HOME_EXPANDED_JOB_COLLECTIONS&subscriptionOrigin=JOBS_HOME",,65%,Found
2026-05-21T19:35:38.342Z,"Empresa no identificada","Iniciar sesión","No especificado","Remoto / Híbrido","https://www.linkedin.com/jobs/search-results/?currentJobId=4412222476&keywords=Ingeniero%20de%20software%20sénior%20en%20remoto&origin=JOB_COLLECTION_PAGE_SEARCH_BUTTON",,65%,Found
2026-05-21T19:36:59.843Z,"Empresa no identificada","Iniciar sesión","No especificado","Remoto / Híbrido","https://www.linkedin.com/jobs/search-results/?currentJobId=4411491909&keywords=Remote%20senior%20software%20engineer&origin=SEMANTIC_SEARCH_LANDING_PAGE&isOnboardingQuery=true",,65%,Found
2026-05-21T19:37:53.697Z,"Empresa no identificada","Iniciar sesión","No especificado","Remoto / Híbrido","https://www.linkedin.com/jobs/search-results/?currentJobId=4415383007&eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=6Fcblp0nhttoTnuDdL8bfw%3D%3D&trackingId=RDPw6UiUnh3XUYbRk3MTGg%3D%3D&keywords=Remote%20senior%20software%20engineer&origin=SEMANTIC_SEARCH_LANDING_PAGE&isOnboardingQuery=true",,65%,Found
